date,hour,route,distance_km,delay_minutes
2024-06-14,4,B-D,70.24,3.4
2024-10-25,1,C-D,18.19,-5
2024-08-10,13,A-B,18.45,-5
2024-03-04,7,A-D,72.91,15.3
2024-02-01,18,C-D,35.25,8.6
2024-03-09,9,B-D,20.7,14.9
2024-10-19,9,C-D,93.41,-1.3
2024-04-06,11,A-B,53.56,12.7
2024-10-15,1,C-D,20.48,-5
2024-08-26,18,B-D,26.5,-5
2024-04-02,22,A-C,14.87,-4.1
2024-08-17,9,C-D,12.59,-5
2024-08-02,5,B-C,22.67,-5
2024-02-09,17,C-D,94.38,15.3
2024-06-09,10,A-D,27.97,-2.9
2024-02-17,8,B-D,73.32,5.7
2024-02-01,23,A-D,28.24,15.3
2024-05-25,22,B-D,71.74,4.2
2024-08-24,11,A-C,50.59,3.1
2024-03-07,23,A-C,36.95,11.0
2024-09-11,2,A-C,37.01,-5
2024-08-08,17,B-C,72.08,1.3
2024-07-02,21,B-D,18.75,1.8
2024-04-29,0,B-D,92.95,10.9
2024-05-14,9,A-B,20.09,0.6
2024-03-05,22,C-D,53.27,12.9
2024-01-28,14,A-D,92.8,-1.1
2024-09-03,20,B-D,12.95,-3.6
2024-04-16,14,A-C,13.7,7.8
2024-03-18,17,A-B,28.07,10.8
2024-02-06,6,C-D,35.74,4.7
2024-07-05,15,A-B,16.24,4.9
2024-08-26,15,B-D,25.43,-2.2
2024-05-15,15,A-D,20.58,9.0
2024-04-15,16,B-C,21.45,16.4
2024-06-01,20,A-B,74.23,-1.3
2024-09-22,11,A-C,28.86,-5
2024-06-17,20,A-C,54.06,-0.3
2024-04-09,7,B-D,74.02,13.1
2024-01-15,0,B-C,36.3,8.7
2024-12-20,19,B-C,39.04,-2.3
2024-07-05,2,A-C,13.13,-5
2024-04-10,10,A-C,38.12,17.2
2024-09-02,20,B-C,93.22,-5
2024-12-04,3,B-D,93.56,0.5
2024-08-10,20,B-C,16.0,6.8
2024-07-21,14,B-D,74.73,-3.3
2024-03-06,0,A-C,54.52,3.6
2024-12-01,4,C-D,92.98,-5
2024-03-20,17,C-D,18.11,13.1
2024-11-28,3,C-D,74.67,-5
2024-04-18,0,B-C,19.46,12.5
2024-05-03,18,B-C,27.72,10.8
2024-06-30,14,A-D,54.08,-1.8
2024-09-21,13,C-D,20.66,-5
2024-08-13,5,C-D,15.88,-5
